Nama Tempat Wisata,Alamat,Jenis Wisata,Deskripsi,Koordinat,Rating,Kota,Deskripsi Singkat
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.9,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",3.7,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.7,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",4.7,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.7,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",3.5,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",3.7,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.7,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.7,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.4,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",5,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Surabaya North Quay,"Surabaya, Jawa Timur",Pantai,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.,"-7.1915, 112.7342",4.8,Surabaya,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",5,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.5,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",3.6,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.6,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.9,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.3,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",3.8,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.6,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.1,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.7,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.6,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.1,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",3.8,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.8,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Surabaya North Quay,"Surabaya, Jawa Timur",Pantai,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.,"-7.1915, 112.7342",4.5,Surabaya,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.8,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.9,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.1,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Surabaya North Quay,"Surabaya, Jawa Timur",Pantai,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.,"-7.1915, 112.7342",4,Surabaya,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.1,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",3.6,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.2,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.5,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.7,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.7,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.7,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.1,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.7,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",5,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.5,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.9,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.9,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.6,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.7,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Surabaya North Quay,"Surabaya, Jawa Timur",Pantai,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.,"-7.1915, 112.7342",4.7,Surabaya,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",3.8,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",4.7,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",3.9,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.6,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.7,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",3.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.9,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",4.1,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.4,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.1,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",5,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.8,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.1,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.5,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.7,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.3,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.7,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.6,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.3,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.6,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.6,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.4,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",3.8,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",5,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.4,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",3.7,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",4.9,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",3.8,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.9,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",4.2,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",3.7,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.6,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.5,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.6,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.6,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.6,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.3,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.6,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Taman Bungkul,"Surabaya, Jawa Timur",Taman,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.,"-7.2892, 112.7357",4.9,Surabaya,Taman kota dengan fasilitas lengkap dan sering menjadi tempat berkumpul.
Surabaya North Quay,"Surabaya, Jawa Timur",Pantai,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.,"-7.1915, 112.7342",3.6,Surabaya,Pelabuhan modern dengan pemandangan laut dan kapal pesiar.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.8,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
House of Sampoerna,"Surabaya, Jawa Timur",Sejarah,Museum rokok dengan galeri seni dan sejarah industri tembakau.,"-7.2411, 112.7375",4.8,Surabaya,Museum rokok dengan galeri seni dan sejarah industri tembakau.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.8,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",3.5,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.8,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",4.6,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",3.9,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Jembatan Suramadu,Surabaya - Madura,Ikon Kota,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.,"-7.1919, 112.7891",3.7,Surabaya,Jembatan terpanjang di Indonesia yang menghubungkan Surabaya dan Madura.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",3.8,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",5,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",3.7,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",3.7,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Atlantis Land Kenjeran,"Surabaya, Jawa Timur",Taman Hiburan,Taman bermain air dengan wahana modern di kawasan Kenjeran.,"-7.2265, 112.7901",4.4,Surabaya,Taman bermain air dengan wahana modern di kawasan Kenjeran.
Tugu Pahlawan,"Surabaya, Jawa Timur",Sejarah,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.,"-7.2458, 112.7378",4.3,Surabaya,Monumen ikonik yang memperingati perjuangan arek-arek Suroboyo.
Kebun Binatang Surabaya,"Surabaya, Jawa Timur",Hiburan,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.,"-7.2926, 112.7352",4.9,Surabaya,Kebun binatang tertua di Indonesia dengan koleksi satwa lengkap.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.5,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
Hutan Mangrove Wonorejo,"Surabaya, Jawa Timur",Alam,Ekowisata hutan mangrove dengan jalur kayu yang menarik.,"-7.2887, 112.8411",4.6,Surabaya,Ekowisata hutan mangrove dengan jalur kayu yang menarik.
